"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 10 02:56:58 IST 2021","Sat Apr 10 02:57:06 IST 2021","7589","","Volvo Home Page","","Volvo Home Page","Verify User is able to click on Cars Link","Verify User is able to click on Cars Link",""
"passed","Sat Apr 10 13:31:28 IST 2021","Sat Apr 10 13:31:49 IST 2021","21042","","Volvo Home Page","","Volvo Home Page","Verify Title of Volvo Home Page","Verify Title of Volvo Home Page",""
"passed","Sat Apr 10 13:31:17 IST 2021","Sat Apr 10 13:31:31 IST 2021","14120","","Volvo Home Page","","Volvo Home Page","Verify User is able to click on Cars Link and verify types of cars","Verify User is able to click on Cars Link and verify types of cars",""
"passed","Sat Apr 10 13:30:35 IST 2021","Sat Apr 10 13:31:17 IST 2021","41424","","Volvo Home Page","","Volvo Home Page","Verify Title of Volvo Home Page","Verify Title of Volvo Home Page",""
"passed","Sat Apr 10 09:16:45 IST 2021","Sat Apr 10 09:17:07 IST 2021","22528","","User is able to scroll down Page","","User is able to scroll down Page","Click on Mild Hybrid Cars and Land on New Page","Click on Mild Hybrid Cars and Land on New Page",""
"passed","Sat Apr 10 13:30:36 IST 2021","Sat Apr 10 13:31:23 IST 2021","47182","","scroll down Page to Mild Hybrid Cars","","scroll down Page to Mild Hybrid Cars","Click on Mild Hybrid Cars and redirect to New Page","Click on Mild Hybrid Cars and redirect to New Page",""
"failed","Sat Apr 10 13:31:49 IST 2021","Sat Apr 10 13:32:09 IST 2021","19824","","Volvo Home Page","","Volvo Home Page","Verify User is able to click on Cars Link and verify types of cars","Verify User is able to click on Cars Link and verify types of cars",""
"passed","Sat Apr 10 13:32:08 IST 2021","Sat Apr 10 13:32:12 IST 2021","4410","","scroll down Page to Mild Hybrid Cars","","scroll down Page to Mild Hybrid Cars","should verify headings on mild hybrid cars page","should verify headings on mild hybrid cars page",""
"passed","Sat Apr 10 13:31:34 IST 2021","Sat Apr 10 13:32:08 IST 2021","34065","","scroll down Page to Mild Hybrid Cars","","scroll down Page to Mild Hybrid Cars","Click on Mild Hybrid Cars and redirect to New Page","Click on Mild Hybrid Cars and redirect to New Page",""
"passed","Sat Apr 10 13:31:23 IST 2021","Sat Apr 10 13:31:25 IST 2021","2123","","scroll down Page to Mild Hybrid Cars","","scroll down Page to Mild Hybrid Cars","should verify headings on mild hybrid cars page","should verify headings on mild hybrid cars page",""
